traffic light 0.58,172,250,186,283
traffic light 0.74,190,249,201,272
bus 0.30,561,266,640,331
bus 0.68,491,271,572,329
bus 0.69,2,153,88,403
bus 1.00,208,157,434,381
motorbike 0.30,606,345,639,460
car 0.52,467,301,488,317
car 0.62,430,302,447,317
car 0.69,450,299,468,316
bicycle 0.54,604,374,637,462
person 0.33,583,299,615,394
person 0.51,174,296,190,348
person 0.51,183,296,199,340
person 0.52,147,297,159,322
person 0.52,97,163,454,379
person 0.52,193,296,207,339
person 0.60,609,306,640,446
person 0.75,162,301,173,331
person 0.85,135,298,154,348
person 0.97,105,296,120,345
person 0.98,121,295,138,349
