book 0.49,515,50,542,156
book 0.50,353,171,365,268
book 0.52,234,48,259,154
book 0.54,160,173,197,259
book 0.55,490,180,521,270
book 0.55,136,173,174,256
book 0.57,318,169,329,266
book 0.57,253,174,288,258
book 0.58,281,168,296,265
book 0.59,331,170,341,265
book 0.60,365,169,377,272
book 0.61,112,50,151,152
book 0.67,135,52,172,153
book 0.68,209,51,238,151
book 0.71,184,52,218,151
book 0.71,208,171,244,258
book 0.72,412,45,459,158
book 0.75,227,172,266,258
book 0.76,177,170,220,260
book 0.77,158,51,195,152
toilet 0.87,178,318,465,599
